segment_id,average_shap_value,reliability_shap_value,shap_variance,z_score,avg_meth_R,avg_meth_S,diff,direction,mean_coef,gene_symbol,avg_depth
chr6:130121657-130122842,-0.0028521575936524012,0.02038684054435098,0.00044722366213883195,12.052277082113736,0.24333333333333337,0.8816666666666665,-0.6383333333333331,U,0.01890125382757075,,2.659166666666667
chr6:17988821-17988968,-0.002920786820981234,0.018248119521761374,0.0003660658620122913,10.768898150674174,0.4116666666666667,0.8066666666666666,-0.39499999999999996,U,0.01774797954955898,KIF13A,3.0091666666666668
chr5:84850694-84852107,-0.0017671096098856656,0.014783297910696021,0.0002593206433178068,8.68976814265956,0.6483333333333333,0.10833333333333334,0.54,M,-0.013956263226839476,,3.016666666666667
chr6:53804556-53806528,-0.0019516266431180592,0.013076006116302856,0.0002336394371408692,7.665276263821242,0.27166666666666667,0.8566666666666668,-0.5850000000000002,U,0.011937601979516786,,2.758333333333333
chrX:7632925-7634692,-0.001083274267429926,0.012520138486619531,0.00019024192100722387,7.331717657032479,0.08666666666666667,0.7283333333333334,-0.6416666666666667,U,0.01240096737854799,,2.0825
chr6:6610111-6610166,-0.0019473491634934414,0.012444620705012751,0.0002224763560633565,7.2864018216151765,0.5033333333333333,0.9483333333333333,-0.44499999999999995,U,0.011316450448427218,,2.9908333333333332
chr5:33568706-33569025,-0.0013377267805489191,0.01234922899145144,0.00019455762326771865,7.2291602673753115,0.28333333333333327,0.8850000000000001,-0.6016666666666668,U,0.011463568969169025,,3.2624999999999997
chr17:1850693-1852568,-0.0007039868651674339,0.01231352654712529,0.00020452454683919004,7.2077363582421805,0.8566666666666666,0.9666666666666667,-0.1100000000000001,U,0.012127681393946177,,3.1675
chr1:31402925-31404171,-0.0020670234011782107,0.01218734046112907,0.00020541787191487225,7.132016073783443,0.7400000000000001,0.9616666666666666,-0.22166666666666646,U,0.011548970976302331,,2.8725
chr17:68644027-68644704,-0.0019668532197490325,0.011830946564437695,0.000184578518954444,6.91815535353226,0.47833333333333333,0.8983333333333333,-0.42,U,0.011248353207475205,,4.049166666666667
chr19:57651719-57651874,-0.0025104969954073838,0.011805148689336083,0.0001796936117929537,6.902674863542392,0.12666666666666668,0.47000000000000003,-0.3433333333333334,U,0.012974163415596615,,4.2775
chr2:53340066-53341854,-0.001435254856193437,0.011644991121244603,0.00018285349418060775,6.806569365710643,0.6183333333333333,0.9,-0.28166666666666673,U,0.01225207544008494,,21.177500000000002
chr20:45489592-45491361,-0.0018625210812161118,0.011202620684652081,0.00019910640999330146,6.541116839542856,0.165,0.011666666666666667,0.15333333333333335,M,-0.010104768660708507,,3.3233333333333337
chr5:72666938-72668254,-0.0023217045492098186,0.011190975473965725,0.00016311266537779519,6.534128916438725,0.8033333333333333,0.9783333333333334,-0.17500000000000004,U,0.01169868213509446,,2.8991666666666664
chr13:21130585-21131374,-0.0016495966395967494,0.011006809778685048,0.00017471888987591962,6.42361689980789,0.8099999999999999,0.9483333333333333,-0.1383333333333333,U,0.010799588450135627,,2.798333333333334
chr19:35824215-35824936,-0.000712665231586948,0.010879557378336327,0.0001633279460229861,6.347256753787107,0.5016666666666666,0.19166666666666665,0.30999999999999994,M,-0.011164854938791694,,3.9708333333333337
chr4:187050539-187052156,-0.002009677803413369,0.010811848637131591,0.00017528890468230314,6.306626876856624,0.6866666666666666,0.9349999999999999,-0.2483333333333333,U,0.012312650038149242,,2.75
chr2:100851988-100852502,-0.0012869816025450982,0.010809484540662169,0.00014569791430007242,6.30520825723831,0.33166666666666667,0.8866666666666666,-0.5549999999999999,U,0.010378042815732787,,2.950833333333333
chr2:24828000-24828106,-0.0017779498417789324,0.01080570049779591,0.0001543764496005784,6.302937572638062,0.7283333333333334,0.9883333333333333,-0.2599999999999999,U,0.011508849531156745,,3.66
chr3:115490497-115491475,0.0012018197029605726,0.010716717830622108,0.00022640974069940904,6.24954188469748,1.0,0.8450000000000001,0.15499999999999992,M,-0.009942845214608738,,2.5641666666666665
chr9:127036322-127038285,-0.00023355387241947667,0.010419194340130736,0.00016427214780716638,6.071007435710463,0.8083333333333335,0.9383333333333335,-0.13,U,0.010462515327910739,,3.3699999999999997
chrX:155770094-155771888,-9.069450965663009e-05,0.010383852773657852,0.00013142185138372112,6.0498000779782934,0.26499999999999996,0.8616666666666667,-0.5966666666666667,U,0.009881190813756503,,2.4741666666666666
chr16:29199814-29200592,-0.0007283106093617245,0.010187914621875493,0.00012848632863770342,5.93222378204877,0.65,0.09999999999999999,0.55,M,-0.00990647626644391,,3.240833333333333
chr12:105657102-105658983,-0.0006982495927379774,0.010144448841914322,0.00012681838641194577,5.906141340415868,0.16,0.8300000000000001,-0.67,U,0.009576222223090194,,2.2266666666666666
chr6:144053294-144053795,-0.001456599663866887,0.010026439962811969,0.00013254180365654023,5.835327939526686,0.11166666666666668,0.4766666666666666,-0.36499999999999994,U,0.009544796936483852,,2.6941666666666664
chr17:867356-867621,-0.00025031765326476873,0.010003732703258989,0.00012562582750124608,5.8217020303065405,0.3533333333333333,0.9166666666666666,-0.5633333333333334,U,0.009440401571342155,,3.0374999999999996
chr8:117642646-117644376,-0.0009356960297910096,0.009824050444722196,0.00011842113323107283,5.713880382450673,0.20166666666666663,0.8483333333333335,-0.6466666666666668,U,0.009071238164427368,,3.744166666666666
chr1:196960389-196961818,-0.0005448889541366286,0.009739933889002758,0.00012246749711906577,5.663404694291552,0.14666666666666664,0.65,-0.5033333333333334,U,0.009440444591914373,,3.7424999999999997
